obra_id,nombre_obra,rubro_id,rubro_nombre,total_materiales,qty_compras,total_mano_obra,qty_pagos,total_rubro,ranking_en_obra
ALGESA - ADM CENTRAL - 22/11/2025,,DESCONOCIDO,,0.0,0,1100000.0,2,1100000.0,1
ALGESA - ARREGLO DESAGUE - D26 - 10/07/2025,ARREGLO DESAGUE - D26,PLOM,PLOMERIA,806000.0,10,0.0,0,806000.0,1
ALGESA - CICSA - 27/05/2025,CICSA,ALB,ALBAÑILERIA,252773000.0,60,9700000.0,4,262473000.0,1
ALGESA - CICSA - 27/05/2025,,HORM,,0.0,0,148812000.0,13,148812000.0,2
ALGESA - CICSA - 27/05/2025,CICSA,TECHO,TECHO,38458265.0,6,10000000.0,1,48458265.0,3
ALGESA - CICSA - 27/05/2025,,ADM,,0.0,0,30475000.0,44,30475000.0,4
ALGESA - CICSA - 27/05/2025,CICSA,GG,GASTOS GENERALES,22915234.0,115,0.0,0,22915234.0,5
ALGESA - CICSA - 27/05/2025,CICSA,GG ALB,,22308000.0,13,0.0,0,22308000.0,6
ALGESA - CICSA - 27/05/2025,,EXC,,0.0,0,21020000.0,11,21020000.0,7
ALGESA - CICSA - 27/05/2025,CICSA,TECHO VARIOS,,11226568.0,38,0.0,0,11226568.0,8
ALGESA - D1 ARREGLO - 21/02/2026,D1 ARREGLO,ALB,ALBAÑILERIA,1300000.0,1,12505000.0,3,13805000.0,1
ALGESA - D1 ARREGLO - 21/02/2026,D1 ARREGLO,GG,GASTOS GENERALES,1318000.0,6,0.0,0,1318000.0,2
ALGESA - D1 ARREGLO - 21/02/2026,,PLOM,,0.0,0,300000.0,1,300000.0,3
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,D19 | D20 MURALLA DIVISORIA,ALB,ALBAÑILERIA,87679400.0,56,195600000.0,20,283279400.0,1
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,D19 | D20 MURALLA DIVISORIA,PIN,PINTURA,7984219.0,6,24500000.0,5,32484219.0,2
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,D19 | D20 MURALLA DIVISORIA,LOZA SANITARIA,LOZA,21650000.0,5,0.0,0,21650000.0,3
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,D19 | D20 MURALLA DIVISORIA,ELEC,ELECTRICIDAD,6126100.0,7,13865000.0,7,19991100.0,4
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,D19 | D20 MURALLA DIVISORIA,PISO,PISO,14627280.0,2,0.0,0,14627280.0,5
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,D19 | D20 MURALLA DIVISORIA,GG,GASTOS GENERALES,14255809.0,59,0.0,0,14255809.0,6
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,,CIELO RASO,,0.0,0,9130000.0,2,9130000.0,7
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,D19 | D20 MURALLA DIVISORIA,HERR,HERRERIA,8993000.0,3,0.0,0,8993000.0,8
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,,TECHO,,0.0,0,8500000.0,4,8500000.0,9
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,,EXC,,0.0,0,8100000.0,6,8100000.0,10
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,,ADM,,0.0,0,8015000.0,10,8015000.0,11
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,,PLOM,,0.0,0,7700000.0,8,7700000.0,12
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,D19 | D20 MURALLA DIVISORIA,TECHO VARIOS,,661120.0,4,0.0,0,661120.0,13
ALGESA - D2 - CAMBIO DE TECHO - 28/10/2025,D2 - CAMBIO DE TECHO,TECHO,TECHO,71824789.0,18,9000000.0,4,80824789.0,1
ALGESA - D2 - CAMBIO DE TECHO - 28/10/2025,D2 - CAMBIO DE TECHO,TECHO VARIOS,,7537217.0,21,0.0,0,7537217.0,2
ALGESA - D2 - CAMBIO DE TECHO - 28/10/2025,D2 - CAMBIO DE TECHO,GG,GASTOS GENERALES,3658000.0,14,0.0,0,3658000.0,3
ALGESA - D27 - 24/01/2025,D27,ALB,ALBAÑILERIA,1047315879.0,210,221310000.0,36,1268625879.0,1
ALGESA - D27 - 24/01/2025,D27,TECHO,TECHO,707159927.0,53,371000000.0,20,1078159927.0,2
ALGESA - D27 - 24/01/2025,D27,PISO,PISO,877076131.0,8,0.0,0,877076131.0,3
ALGESA - D27 - 24/01/2025,,HORM,,0.0,0,355945000.0,18,355945000.0,4
ALGESA - D27 - 24/01/2025,D27,GG,GASTOS GENERALES,180477208.0,450,10800000.0,6,191277208.0,5
ALGESA - D27 - 24/01/2025,,ADM,,0.0,0,99203500.0,130,99203500.0,6
ALGESA - D27 - 24/01/2025,D27,ELEC,ELECTRICIDAD,66989135.0,21,14300000.0,4,81289135.0,7
ALGESA - D27 - 24/01/2025,D27,PIN,PINTURA,18788904.0,11,56891000.0,12,75679904.0,8
ALGESA - D27 - 24/01/2025,D27,TECHO VARIOS,,60563060.0,171,0.0,0,60563060.0,9
ALGESA - D27 - 24/01/2025,,EXC,,0.0,0,58450800.0,15,58450800.0,10
ALGESA - D27 - 24/01/2025,,DURLOCK,,0.0,0,32426000.0,8,32426000.0,11
ALGESA - D27 - 24/01/2025,,SERENO,,0.0,0,21300000.0,30,21300000.0,12
ALGESA - D27 - 24/01/2025,D27,HERR,HERRERIA,13957500.0,20,0.0,0,13957500.0,13
ALGESA - D27 - 24/01/2025,D27,PLOM,PLOMERIA,767950.0,3,500000.0,1,1267950.0,14
ALGESA - D27 - 24/01/2025,,PUERTA,,0.0,0,1000000.0,1,1000000.0,15
ALGESA - D3 - 07/03/2026,,PIN,,0.0,0,5000000.0,1,5000000.0,1
ALGESA - D3 - 07/03/2026,D3,ALB,ALBAÑILERIA,577000.0,1,1000000.0,1,1577000.0,2
ALGESA - D3 - 07/03/2026,,PLOM,,0.0,0,1000000.0,1,1000000.0,3
ALGESA - D3 - 07/03/2026,,EXC,,0.0,0,500000.0,1,500000.0,4
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,D7 - CAMBIO DE TECHO,TECHO,TECHO,106202803.0,39,40200000.0,8,146402803.0,1
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,D7 - CAMBIO DE TECHO,PISO,PISO,14665820.0,7,83750000.0,2,98415820.0,2
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,D7 - CAMBIO DE TECHO,PIN,PINTURA,13267391.0,21,23109000.0,5,36376391.0,3
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,D7 - CAMBIO DE TECHO,ALB,ALBAÑILERIA,5932000.0,8,28000000.0,8,33932000.0,4
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,D7 - CAMBIO DE TECHO,ELEC,ELECTRICIDAD,20130900.0,55,13000000.0,3,33130900.0,5
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,D7 - CAMBIO DE TECHO,TECHO VARIOS,,20042509.0,84,0.0,0,20042509.0,6
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,,DIVISORIA,,0.0,0,18498500.0,4,18498500.0,7
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,,PUERTA,,0.0,0,10500000.0,3,10500000.0,8
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,D7 - CAMBIO DE TECHO,PLOM,PLOMERIA,1858150.0,1,8000000.0,7,9858150.0,9
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,D7 - CAMBIO DE TECHO,LOZA SANITARIA,LOZA,8469800.0,5,0.0,0,8469800.0,10
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,D7 - CAMBIO DE TECHO,HERR,HERRERIA,4021100.0,7,2500000.0,1,6521100.0,11
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,,GRANITO,,0.0,0,5880000.0,2,5880000.0,12
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,,ADM,,0.0,0,4840000.0,7,4840000.0,13
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,D7 - CAMBIO DE TECHO,GG,GASTOS GENERALES,4731027.0,23,0.0,0,4731027.0,14
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,D7 - CAMBIO DE TECHO,GRIFERIA,,2880000.0,4,0.0,0,2880000.0,15
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,,EXC,,0.0,0,1480000.0,2,1480000.0,16
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,,SERENO,,0.0,0,700000.0,1,700000.0,17
ALGESA - DIVISORIA DE VIDRIO - OFICINAS - 31/01/2025,DIVISORIA DE VIDRIO - OFICINAS,PUERTA,,19580000.0,2,0.0,0,19580000.0,1
ALGESA - FOSA - MONTACARGA - 07/04/2025,FOSA - MONTACARGA,ALB,ALBAÑILERIA,12247300.0,14,9720000.0,8,21967300.0,1
ALGESA - FOSA - MONTACARGA - 07/04/2025,FOSA - MONTACARGA,TECHO,TECHO,10925229.0,8,4550000.0,1,15475229.0,2
ALGESA - FOSA - MONTACARGA - 07/04/2025,FOSA - MONTACARGA,PIN,PINTURA,1303600.0,9,1500000.0,1,2803600.0,3
ALGESA - FOSA - MONTACARGA - 07/04/2025,FOSA - MONTACARGA,ELEC,ELECTRICIDAD,1183500.0,6,1365000.0,1,2548500.0,4
ALGESA - FOSA - MONTACARGA - 07/04/2025,FOSA - MONTACARGA,GG,GASTOS GENERALES,1687450.0,10,0.0,0,1687450.0,5
ALGESA - FOSA - MONTACARGA - 07/04/2025,FOSA - MONTACARGA,PISO,PISO,1233480.0,4,0.0,0,1233480.0,6
ALGESA - FOSA - MONTACARGA - 07/04/2025,,HERR,,0.0,0,950000.0,1,950000.0,7
ALGESA - FOSA - MONTACARGA - 07/04/2025,FOSA - MONTACARGA,PUERTA,,160000.0,1,0.0,0,160000.0,8
ALGESA - FRANCO - 18/04/2024,FRANCO,ALB,ALBAÑILERIA,902401104.0,293,1253333806.0,261,2155734910.0,1
ALGESA - FRANCO - 18/04/2024,FRANCO,TECHO,TECHO,596267772.0,159,189955000.0,23,786222772.0,2
ALGESA - FRANCO - 18/04/2024,FRANCO,ELEC,ELECTRICIDAD,217437293.0,376,200964250.0,61,418401543.0,3
ALGESA - FRANCO - 18/04/2024,FRANCO,PISO,PISO,185953060.0,47,133364600.0,37,319317660.0,4
ALGESA - FRANCO - 18/04/2024,,ADM,,0.0,0,245821250.0,322,245821250.0,5
ALGESA - FRANCO - 18/04/2024,FRANCO,GG,GASTOS GENERALES,200778150.0,833,1880000.0,2,202658150.0,6
ALGESA - FRANCO - 18/04/2024,,VENTANA,,0.0,0,139172600.0,25,139172600.0,7
ALGESA - FRANCO - 18/04/2024,FRANCO,PIN,PINTURA,41807434.0,40,90359278.0,23,132166712.0,8
ALGESA - FRANCO - 18/04/2024,,CIELO RASO,,0.0,0,88987500.0,14,88987500.0,9
ALGESA - FRANCO - 18/04/2024,FRANCO,PLOM,PLOMERIA,13749516.0,46,60900000.0,27,74649516.0,10
ALGESA - FRANCO - 18/04/2024,FRANCO,LOZA SANITARIA,LOZA,53877000.0,18,0.0,0,53877000.0,11
ALGESA - FRANCO - 18/04/2024,,EXC,,0.0,0,52698000.0,20,52698000.0,12
ALGESA - FRANCO - 18/04/2024,FRANCO,TECHO VARIOS,,47702471.0,204,0.0,0,47702471.0,13
ALGESA - FRANCO - 18/04/2024,FRANCO,PUERTA,,3320000.0,3,38000000.0,3,41320000.0,14
ALGESA - FRANCO - 18/04/2024,,GRANITO,,0.0,0,19380000.0,8,19380000.0,15
ALGESA - FRANCO - 18/04/2024,FRANCO,MAQUINARIA,,17608000.0,6,0.0,0,17608000.0,16
ALGESA - FRANCO - 18/04/2024,,PERSONAL OSCAR,,0.0,0,9322000.0,9,9322000.0,17
ALGESA - FRANCO - 18/04/2024,,MARM,,0.0,0,3660000.0,2,3660000.0,18
ALGESA - FRANCO - 18/04/2024,FRANCO,HERR,HERRERIA,599000.0,2,2400000.0,2,2999000.0,19
ALGESA - FRANCO - 18/04/2024,,CARP,,0.0,0,1760000.0,1,1760000.0,20
ALGESA - FRANCO - 18/04/2024,FRANCO,MOTOR,MOTORES,1560000.0,1,0.0,0,1560000.0,21
ALGESA - FRANCO - 18/04/2024,,DIVISORIA,,0.0,0,755100.0,1,755100.0,22
ALGESA - FRANCO - 18/04/2024,FRANCO,PREV,,750000.0,1,0.0,0,750000.0,23
ALGESA - ITAIPU PORA ARREGLO - 01/01/2026,,TECHO,,0.0,0,1500000.0,1,1500000.0,1
ALGESA - ITAIPU PORA ARREGLO - 01/01/2026,,PLOM,,0.0,0,400000.0,1,400000.0,2
ALGESA - MANTENIMIENTO Y REFUERZO DE PISO - D26 - 14/01/2025,MANTENIMIENTO Y REFUERZO DE PISO - D26,PISO,PISO,33120125.0,15,10590000.0,2,43710125.0,1
ALGESA - MANTENIMIENTO Y REFUERZO DE PISO - D26 - 14/01/2025,MANTENIMIENTO Y REFUERZO DE PISO - D26,ALB,ALBAÑILERIA,4230000.0,7,0.0,0,4230000.0,2
ALGESA - MANTENIMIENTO Y REFUERZO DE PISO - D26 - 14/01/2025,MANTENIMIENTO Y REFUERZO DE PISO - D26,GG,GASTOS GENERALES,3152000.0,8,0.0,0,3152000.0,3
ALGESA - MUESTRA DE PINTURA - ASTURIAS - 29/01/2025,MUESTRA DE PINTURA - ASTURIAS,PIN,PINTURA,736486.0,3,500000.0,1,1236486.0,1
ALGESA - MURALLA DEP 3Y4 - 17/12/2024,MURALLA DEP 3Y4,ALB,ALBAÑILERIA,17329000.0,19,45710300.0,19,63039300.0,1
ALGESA - MURALLA DEP 3Y4 - 17/12/2024,MURALLA DEP 3Y4,PIN,PINTURA,16307587.0,32,17473849.0,7,33781436.0,2
ALGESA - MURALLA DEP 3Y4 - 17/12/2024,MURALLA DEP 3Y4,GG,GASTOS GENERALES,153000.0,3,0.0,0,153000.0,3
ALGESA - MURALLA PERIMETRAL ALGESA - 18/06/2025,MURALLA PERIMETRAL ALGESA,ALB,ALBAÑILERIA,61871120.0,115,72530000.0,29,134401120.0,1
ALGESA - MURALLA PERIMETRAL ALGESA - 18/06/2025,MURALLA PERIMETRAL ALGESA,GG,GASTOS GENERALES,5485134.0,18,0.0,0,5485134.0,2
ALGESA - MURALLA PERIMETRAL ALGESA - 18/06/2025,MURALLA PERIMETRAL ALGESA,HERR,HERRERIA,515000.0,3,0.0,0,515000.0,3
ALGESA - PORTON - D26 - 06/04/2025,PORTON - D26,HERR,HERRERIA,6616058.0,11,8500000.0,3,15116058.0,1
ALGESA - PORTON - D26 - 06/04/2025,PORTON - D26,GG,GASTOS GENERALES,1937020.0,11,0.0,0,1937020.0,2
ALGESA - PORTON - D26 - 06/04/2025,,ALB,,0.0,0,500000.0,1,500000.0,3
ALGESA - PORTON - D26 - 06/04/2025,PORTON - D26,PIN,PINTURA,448500.0,4,0.0,0,448500.0,4
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,REMODELACION DE BAÑO - AUDITORIA,RIPADO,,4095122.0,1,900000.0,1,4995122.0,1
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,REMODELACION DE BAÑO - AUDITORIA,PLOM,PLOMERIA,922700.0,8,1860000.0,3,2782700.0,2
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,REMODELACION DE BAÑO - AUDITORIA,ELEC,ELECTRICIDAD,999500.0,4,1260000.0,2,2259500.0,3
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,REMODELACION DE BAÑO - AUDITORIA,LOZA SANITARIA,LOZA,2015000.0,3,0.0,0,2015000.0,4
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,REMODELACION DE BAÑO - AUDITORIA,ALB,ALBAÑILERIA,390000.0,2,1000000.0,1,1390000.0,5
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,,EXC,,0.0,0,220000.0,1,220000.0,6
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,,CIELO RASO,,0.0,0,150000.0,1,150000.0,7
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,REMODELACION DE BAÑO - AUDITORIA,PIN,PINTURA,58500.0,1,0.0,0,58500.0,8
ALGESA - REPARACION DE MURO/MOLDURA EXTERIOR - D26 - 30/04/2025,REPARACION DE MURO/MOLDURA EXTERIOR - D26,ALB,ALBAÑILERIA,38000.0,1,0.0,0,38000.0,1
ALGESA - REPINTADO D26 - 03/09/2025,REPINTADO D26,PIN,PINTURA,149500.0,1,0.0,0,149500.0,1
ALGESA - RESTAURACION DE PARAPETO - D5 - 08/02/2025,,ALB,,0.0,0,300000.0,1,300000.0,1
ALGESA - VICERAS - D11 - 06/06/2025,VICERAS - D11,TECHO,TECHO,7979257.0,18,5600000.0,1,13579257.0,1
