obra_id,nombre_obra,cliente_id,estado_obra,monto_contrato,total_materiales,total_mano_obra,total_gastos,total_ingresos,resultado_neto,pct_del_total,pct_contrato_ejecutado,ranking_gasto
ALGESA - FRANCO - 18/04/2024,FRANCO,recWCKzYzzNzR2zRP,ACTIVO,,2283810800.0,2532713384.0,4816524184.0,6609900000.0,1793375816.0,37.24,,1
ALGESA - D27 - 24/01/2025,D27,recWCKzYzzNzR2zRP,ACTIVO,,2973095694.0,1243126300.0,4216221994.0,4800000000.0,583778006.0,32.59,,2
ARQ SANCHEZ - OFICINA - 07/01/2024,OFICINA,recFFkMotrX2M8OzG,ACTIVO,,173504854.0,418670000.0,592174854.0,0.0,-592174854.0,4.58,,3
ALGESA - CICSA - 27/05/2025,CICSA,recWCKzYzzNzR2zRP,ACTIVO,,347681067.0,220007000.0,567688067.0,1439650000.0,871961933.0,4.39,,4
RALF - COLIBRI - 30/04/2024,COLIBRI,recH397KSaha26Qpq,FINALIZADO,,218704008.0,232401000.0,451105008.0,797443160.0,346338152.0,3.49,,5
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,D7 - CAMBIO DE TECHO,recWCKzYzzNzR2zRP,FINALIZADO,,202201500.0,240457500.0,442659000.0,0.0,-442659000.0,3.42,,6
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,D19 | D20 MURALLA DIVISORIA,recWCKzYzzNzR2zRP,ACTIVO,,161976928.0,275410000.0,437386928.0,38300000.0,-399086928.0,3.38,,7
MONICA ESPINOLA - DEP 120M2 - MONICA ESPINOLA - 12/07/2025,DEP 120M2 - MONICA ESPINOLA,recK4MYzW1HxEyD4a,ACTIVO,,124464131.0,141232500.0,265696631.0,0.0,-265696631.0,2.05,,8
SILVIO DIAZ - CASA SILVIO DIAZ - 08/05/2024,CASA SILVIO DIAZ,recwmIGPhVIqVySah,FINALIZADO,,68528766.0,73818700.0,142347466.0,142347466.0,0.0,1.1,,9
ALGESA - MURALLA PERIMETRAL ALGESA - 18/06/2025,MURALLA PERIMETRAL ALGESA,recWCKzYzzNzR2zRP,FINALIZADO,,67871254.0,72530000.0,140401254.0,102410000.0,-37991254.0,1.09,,10
SAIFILDIN - DUPLEX AREA 1 - 05/12/2024,DUPLEX AREA 1,reclHAzZ7yfshuW70,ACTIVO,,53519543.0,62665900.0,116185443.0,13050000.0,-103135443.0,0.9,,11
APAMAP - APAMAP REMODELACION - 25/04/2025,APAMAP REMODELACION,recg5ZOyQsYeIiFVG,FINALIZADO,,37424169.0,68015100.0,105439269.0,86600000.0,-18839269.0,0.82,,12
ALGESA - MURALLA DEP 3Y4 - 17/12/2024,MURALLA DEP 3Y4,recWCKzYzzNzR2zRP,FINALIZADO,,33789587.0,63184149.0,96973736.0,67050000.0,-29923736.0,0.75,,13
ALGESA - D2 - CAMBIO DE TECHO - 28/10/2025,D2 - CAMBIO DE TECHO,recWCKzYzzNzR2zRP,FINALIZADO,,83020006.0,9000000.0,92020006.0,29600000.0,-62420006.0,0.71,,14
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,CASA DEL ARQ,recFFkMotrX2M8OzG,ACTIVO,,32103423.0,22430000.0,54533423.0,45900000.0,-8633423.0,0.42,,15
ALGESA - MANTENIMIENTO Y REFUERZO DE PISO - D26 - 14/01/2025,MANTENIMIENTO Y REFUERZO DE PISO - D26,recWCKzYzzNzR2zRP,FINALIZADO,,40502125.0,10590000.0,51092125.0,0.0,-51092125.0,0.39,,16
ALGESA - FOSA - MONTACARGA - 07/04/2025,FOSA - MONTACARGA,recWCKzYzzNzR2zRP,FINALIZADO,,28740559.0,18085000.0,46825559.0,0.0,-46825559.0,0.36,,17
APAMAP - APAMAP DEPOSITO - 30/08/2024,APAMAP DEPOSITO,recg5ZOyQsYeIiFVG,FINALIZADO,,17717976.0,20319000.0,38036976.0,118084556.0,80047580.0,0.29,,18
AUTOTECNIA - AUTOTECNIA - 16/12/2024,AUTOTECNIA,recit6VBoqALuVGcI,FINALIZADO,,15064448.0,12741151.0,27805599.0,5450000.0,-22355599.0,0.21,,19
ING TEME - CASA ING TEME - 12/11/2024,CASA ING TEME,recNrtkDr41X7c0XO,FINALIZADO,,8535560.0,17405000.0,25940560.0,25940560.0,0.0,0.2,,20
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,APAMAP BAÑO Y TECHO,recg5ZOyQsYeIiFVG,FINALIZADO,,10752160.0,14444000.0,25196160.0,25338797.0,142637.0,0.19,,21
AUTOTECNIA - D2 REPINTADO - 10/01/2026,D2 REPINTADO,recit6VBoqALuVGcI,FINALIZADO,,4728222.0,15834000.0,20562222.0,17450000.0,-3112222.0,0.16,,22
ALGESA - DIVISORIA DE VIDRIO - OFICINAS - 31/01/2025,DIVISORIA DE VIDRIO - OFICINAS,recWCKzYzzNzR2zRP,FINALIZADO,,19580000.0,0.0,19580000.0,4950000.0,-14630000.0,0.15,,23
ALGESA - VICERAS - D6 - 02/12/2024,VICERAS - D6,recWCKzYzzNzR2zRP,FINALIZADO,,12867644.0,5600000.0,18467644.0,29700000.0,11232356.0,0.14,,24
ALGESA - PORTON - D26 - 06/04/2025,PORTON - D26,recWCKzYzzNzR2zRP,FINALIZADO,,9001578.0,9000000.0,18001578.0,33500000.0,15498422.0,0.14,,25
ALGESA - VICERAS - D26 - 21/05/2025,VICERAS - D26,recWCKzYzzNzR2zRP,FINALIZADO,,10405589.0,5600000.0,16005589.0,77500000.0,61494411.0,0.12,,26
ALGESA - D1 ARREGLO - 21/02/2026,D1 ARREGLO,recWCKzYzzNzR2zRP,ACTIVO,,2618000.0,12805000.0,15423000.0,0.0,-15423000.0,0.12,,27
ALGESA - VICERAS - D11 - 06/06/2025,VICERAS - D11,recWCKzYzzNzR2zRP,FINALIZADO,,8278257.0,5600000.0,13878257.0,9500000.0,-4378257.0,0.11,,28
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,REMODELACION DE BAÑO - AUDITORIA,recWCKzYzzNzR2zRP,FINALIZADO,,8480822.0,5390000.0,13870822.0,31300000.0,17429178.0,0.11,,29
AUTOTECNIA - D1 TECHO - 17/01/2026,D1 TECHO,recit6VBoqALuVGcI,ACTIVO,,3326500.0,9500000.0,12826500.0,0.0,-12826500.0,0.1,,30
ALGESA - D3 - 07/03/2026,D3,recWCKzYzzNzR2zRP,ACTIVO,,577000.0,7500000.0,8077000.0,129050000.0,120973000.0,0.06,,31
AUTOTECNIA - COLOCACION DE TANQUES - 15/07/2025,COLOCACION DE TANQUES,recit6VBoqALuVGcI,FINALIZADO,,2086740.0,3100000.0,5186740.0,9750000.0,4563260.0,0.04,,32
RALF - REPINTADO COLIBRI - 31/10/2025,REPINTADO COLIBRI,recH397KSaha26Qpq,FINALIZADO,,2591481.0,1650000.0,4241481.0,56150000.0,51908519.0,0.03,,33
AUTOTECNIA - ARREGLO DE CANILLA Y CAÑO - AUTOTECNIA - 05/04/2025,ARREGLO DE CANILLA Y CAÑO - AUTOTECNIA,recit6VBoqALuVGcI,FINALIZADO,,2870000.0,950000.0,3820000.0,0.0,-3820000.0,0.03,,34
AUTOTECNIA - AREGLO CAÑERIA - 21/02/2026,AREGLO CAÑERIA,recit6VBoqALuVGcI,ACTIVO,,380000.0,1870000.0,2250000.0,0.0,-2250000.0,0.02,,35
ALGESA - ITAIPU PORA ARREGLO - 01/01/2026,ITAIPU PORA ARREGLO,recWCKzYzzNzR2zRP,FINALIZADO,,0.0,1900000.0,1900000.0,0.0,-1900000.0,0.01,,36
ARQ SANCHEZ - CASA HIJA ARQ - 01/01/2026,CASA HIJA ARQ,recFFkMotrX2M8OzG,FINALIZADO,,0.0,1750000.0,1750000.0,91250000.0,89500000.0,0.01,,37
ARQ SANCHEZ - DEPOSITO EN CARPINTERIA - 01/11/2025,DEPOSITO EN CARPINTERIA,recFFkMotrX2M8OzG,FINALIZADO,,0.0,1400000.0,1400000.0,23850000.0,22450000.0,0.01,,38
ALGESA - MUESTRA DE PINTURA - ASTURIAS - 29/01/2025,MUESTRA DE PINTURA - ASTURIAS,recWCKzYzzNzR2zRP,FINALIZADO,,736486.0,500000.0,1236486.0,0.0,-1236486.0,0.01,,39
ALGESA - ADM CENTRAL - 22/11/2025,ADM CENTRAL,recWCKzYzzNzR2zRP,FINALIZADO,,0.0,1100000.0,1100000.0,0.0,-1100000.0,0.01,,40
AUTOTECNIA - MESADA AUTOTECNIA - 30/08/2025,MESADA AUTOTECNIA,recit6VBoqALuVGcI,FINALIZADO,,0.0,930000.0,930000.0,0.0,-930000.0,0.01,,41
ALGESA - ARREGLO DESAGUE - D26 - 10/07/2025,ARREGLO DESAGUE - D26,recWCKzYzzNzR2zRP,FINALIZADO,,806000.0,0.0,806000.0,0.0,-806000.0,0.01,,42
AUTOTECNIA - ARREGLOS VARIOS - 20/09/2025,ARREGLOS VARIOS,recit6VBoqALuVGcI,FINALIZADO,,0.0,550000.0,550000.0,0.0,-550000.0,0.0,,43
AUTOTECNIA - REPARACION DE BACHA - 04/10/2025,REPARACION DE BACHA,recit6VBoqALuVGcI,FINALIZADO,,0.0,500000.0,500000.0,0.0,-500000.0,0.0,,44
AUTOTECNIA - CAÑERIA P/DUCHA HIGIENICA - AUTOTECNICA - 01/11/2025,CAÑERIA P/DUCHA HIGIENICA - AUTOTECNICA,recit6VBoqALuVGcI,FINALIZADO,,0.0,300000.0,300000.0,21500000.0,21200000.0,0.0,,45
ALGESA - RESTAURACION DE PARAPETO - D5 - 08/02/2025,RESTAURACION DE PARAPETO - D5,recWCKzYzzNzR2zRP,FINALIZADO,,0.0,300000.0,300000.0,22000000.0,21700000.0,0.0,,45
ALGESA - REPINTADO D26 - 03/09/2025,REPINTADO D26,recWCKzYzzNzR2zRP,FINALIZADO,,149500.0,0.0,149500.0,0.0,-149500.0,0.0,,47
ALGESA - REPARACION DE MURO/MOLDURA EXTERIOR - D26 - 30/04/2025,REPARACION DE MURO/MOLDURA EXTERIOR - D26,recWCKzYzzNzR2zRP,FINALIZADO,,38000.0,0.0,38000.0,29300000.0,29262000.0,0.0,,48
ARQ SANCHEZ - GASTOS PARTICULARES ARQ - 07/01/2024,GASTOS PARTICULARES ARQ,recFFkMotrX2M8OzG,ACTIVO,,0.0,0.0,0.0,0.0,0.0,0.0,,49
